epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,36.1634,1.55032,2.90567,1.83327,0.53568,0.35236,0.42242,0.1931,1.37762,1.81739,1.90697,0.000332555,0.000332555,0.000332555
2,67.3936,1.52261,2.15211,1.77533,0.5773,0.43592,0.52754,0.25129,1.31236,1.48989,1.76677,0.000652703,0.000652703,0.000652703
3,97.4377,1.53479,1.91767,1.76944,0.75864,0.43584,0.52403,0.23329,1.40735,1.59868,1.84592,0.000959652,0.000959652,0.000959652
4,126.671,1.52631,1.76103,1.74098,0.93749,0.42699,0.58113,0.3025,1.30507,1.29659,1.7081,0.0009406,0.0009406,0.0009406
5,156.624,1.49148,1.66712,1.71915,0.91188,0.44027,0.55099,0.27478,1.24819,1.3527,1.68589,0.0009208,0.0009208,0.0009208
6,187.489,1.48584,1.60344,1.71131,0.7999,0.52,0.55804,0.30312,1.22432,1.32951,1.62112,0.000901,0.000901,0.000901
7,223.156,1.4527,1.55178,1.7011,0.6861,0.4292,0.46969,0.26019,1.16572,1.39611,1.60308,0.0008812,0.0008812,0.0008812
8,254.27,1.41803,1.49259,1.66922,0.70948,0.42478,0.55483,0.27451,1.23714,1.43101,1.64489,0.0008614,0.0008614,0.0008614
9,285.324,1.41128,1.46647,1.65632,0.67648,0.66543,0.69904,0.33399,1.16307,1.111,1.58813,0.0008416,0.0008416,0.0008416
10,316.321,1.37154,1.42435,1.63722,0.77075,0.57477,0.56513,0.28737,1.20279,1.20427,1.60409,0.0008218,0.0008218,0.0008218
11,346.137,1.37067,1.38422,1.63324,0.68398,0.61962,0.59935,0.30805,1.11401,1.15997,1.55414,0.000802,0.000802,0.000802
12,376.277,1.34853,1.37008,1.61333,0.76419,0.58916,0.66013,0.35153,1.09562,1.11262,1.54907,0.0007822,0.0007822,0.0007822
13,406.474,1.33617,1.30898,1.60083,0.57596,0.5997,0.63293,0.29993,1.17348,1.11009,1.60581,0.0007624,0.0007624,0.0007624
14,436.502,1.32413,1.30393,1.58872,0.66747,0.50978,0.57651,0.30791,1.08664,1.14268,1.55644,0.0007426,0.0007426,0.0007426
15,467.26,1.31696,1.27477,1.57969,0.79462,0.67039,0.69233,0.36285,1.11991,0.99506,1.53821,0.0007228,0.0007228,0.0007228
16,498.377,1.32085,1.27061,1.58702,0.62342,0.6801,0.68371,0.3416,1.0554,1.08449,1.46887,0.000703,0.000703,0.000703
17,529.81,1.2834,1.24593,1.56138,0.72264,0.50465,0.63043,0.34772,1.09766,1.08919,1.54214,0.0006832,0.0006832,0.0006832
18,560.788,1.27246,1.21505,1.54702,0.76405,0.67299,0.72537,0.36255,1.1001,0.96188,1.52941,0.0006634,0.0006634,0.0006634
19,591.499,1.28408,1.21086,1.55395,0.81139,0.69661,0.74848,0.36423,1.04008,1.0119,1.47635,0.0006436,0.0006436,0.0006436
20,621.436,1.24323,1.17643,1.53338,0.7789,0.70397,0.75282,0.36452,0.98922,0.99477,1.44836,0.0006238,0.0006238,0.0006238
21,651.687,1.24692,1.15827,1.53181,0.71209,0.60678,0.65,0.35388,1.0688,0.98685,1.51831,0.000604,0.000604,0.000604
22,682.009,1.25268,1.15154,1.53177,0.83054,0.70376,0.6943,0.3599,1.07809,0.97469,1.52486,0.0005842,0.0005842,0.0005842
23,712.678,1.21892,1.13316,1.51167,0.72898,0.68716,0.64948,0.32888,1.04874,0.98384,1.47844,0.0005644,0.0005644,0.0005644
24,743.676,1.22078,1.13869,1.50766,0.66832,0.69528,0.67654,0.34264,1.07203,0.95997,1.49566,0.0005446,0.0005446,0.0005446
25,775.013,1.22753,1.08207,1.50856,0.56224,0.65579,0.58472,0.30739,1.02623,0.95291,1.4452,0.0005248,0.0005248,0.0005248
26,806.142,1.19062,1.08639,1.49198,0.76471,0.69976,0.73866,0.36265,1.0112,0.93231,1.43139,0.000505,0.000505,0.000505
27,836.048,1.21021,1.05749,1.49494,0.92733,0.53337,0.68339,0.38482,1.05648,0.90887,1.50712,0.0004852,0.0004852,0.0004852
28,866.373,1.18835,1.07838,1.48041,0.93106,0.64416,0.70281,0.4012,0.96888,0.94106,1.42918,0.0004654,0.0004654,0.0004654
29,896.273,1.17646,1.07837,1.48278,0.95805,0.61064,0.74787,0.41978,0.98997,0.93998,1.42987,0.0004456,0.0004456,0.0004456
30,926.557,1.17752,1.04433,1.48228,0.68949,0.68569,0.6959,0.36215,1.02098,0.91137,1.46691,0.0004258,0.0004258,0.0004258
31,957.759,1.17246,1.02605,1.4706,0.81008,0.64963,0.75604,0.415,1.05705,0.91529,1.47877,0.000406,0.000406,0.000406
32,989.209,1.1711,1.01094,1.46984,0.85664,0.65733,0.74789,0.41847,0.97259,0.84101,1.40694,0.0003862,0.0003862,0.0003862
33,1020.67,1.14018,0.9889,1.452,0.74236,0.64534,0.72391,0.39354,1.07879,0.88926,1.49231,0.0003664,0.0003664,0.0003664
34,1051.39,1.11604,0.96507,1.43806,0.78819,0.6817,0.74357,0.43334,1.03338,0.82689,1.47873,0.0003466,0.0003466,0.0003466
35,1081.52,1.12388,0.97531,1.43828,0.77906,0.68787,0.76968,0.41235,1.02522,0.86108,1.44319,0.0003268,0.0003268,0.0003268
36,1111.99,1.12189,0.9568,1.43837,0.6754,0.68035,0.75418,0.39814,1.05011,0.86041,1.50952,0.000307,0.000307,0.000307
37,1141.73,1.11778,0.94788,1.43747,0.76667,0.71574,0.79884,0.42661,1.00985,0.88743,1.45798,0.0002872,0.0002872,0.0002872
38,1172.19,1.10057,0.92709,1.42195,0.78354,0.67302,0.7847,0.43525,0.97721,0.82099,1.42637,0.0002674,0.0002674,0.0002674
39,1203.41,1.09603,0.9248,1.41861,0.70078,0.74336,0.79257,0.42612,0.97024,0.78752,1.40106,0.0002476,0.0002476,0.0002476
40,1234.98,1.09121,0.92446,1.41817,0.7778,0.68941,0.7846,0.40973,0.99439,0.80392,1.41409,0.0002278,0.0002278,0.0002278
41,1298.74,1.13423,0.7555,1.50703,0.8354,0.69783,0.80111,0.4332,0.9706,0.78882,1.39526,0.000208,0.000208,0.000208
42,1327.7,1.1025,0.70586,1.47398,0.74267,0.76928,0.8038,0.44398,0.95156,0.78377,1.39004,0.0001882,0.0001882,0.0001882
43,1357.13,1.10457,0.70706,1.47819,0.80026,0.78791,0.80452,0.45736,0.94685,0.77587,1.38176,0.0001684,0.0001684,0.0001684
44,1386.68,1.08836,0.69091,1.47382,0.81582,0.78544,0.82352,0.49498,0.93099,0.78025,1.38306,0.0001486,0.0001486,0.0001486
45,1416.37,1.04722,0.66956,1.43593,0.80176,0.77397,0.8261,0.49448,0.91534,0.76032,1.36899,0.0001288,0.0001288,0.0001288
46,1446.44,1.05095,0.66355,1.44057,0.82505,0.77568,0.85021,0.48019,0.93453,0.73484,1.40493,0.000109,0.000109,0.000109
47,1477.31,1.0412,0.64591,1.43889,0.84779,0.72419,0.81546,0.49925,0.89774,0.7482,1.36435,8.92e-05,8.92e-05,8.92e-05
48,1508.22,1.02629,0.63219,1.42271,0.74664,0.8254,0.81935,0.5074,0.92749,0.72788,1.3905,6.94e-05,6.94e-05,6.94e-05
49,1538.43,1.01962,0.63035,1.41214,0.75044,0.79254,0.8263,0.49728,0.90441,0.74088,1.36372,4.96e-05,4.96e-05,4.96e-05
50,1567.57,1.00211,0.62061,1.39644,0.75724,0.82674,0.82511,0.48804,0.89393,0.75336,1.36211,2.98e-05,2.98e-05,2.98e-05
