epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,42.7591,1.21764,2.44178,1.44515,0.6995,0.65925,0.70919,0.37635,1.46019,1.68155,1.53966,0.000369544,0.000369544,0.000369544
2,117.488,1.23249,1.5588,1.45889,0.70937,0.63569,0.7155,0.40526,1.44764,1.52243,1.59495,0.00106625,0.00106625,0.00106625
4,152.672,1.20222,1.42787,1.43505,0.81383,0.73713,0.79666,0.45899,1.41137,1.32665,1.5443,0.00104501,0.00104501,0.00104501
5,189.257,1.16599,1.34047,1.41504,0.83161,0.71493,0.79151,0.46071,1.38334,1.27183,1.52445,0.00102301,0.00102301,0.00102301
6,224.839,1.13124,1.26274,1.39003,0.81147,0.74613,0.80093,0.48366,1.30831,1.26803,1.4447,0.00100101,0.00100101,0.00100101
7,260.887,1.08187,1.18219,1.35861,0.8116,0.79051,0.84225,0.52608,1.2403,1.10402,1.39054,0.000979013,0.000979013,0.000979013
8,297.851,1.06517,1.16213,1.35516,0.88105,0.79292,0.86813,0.55191,1.20612,1.02186,1.37038,0.000957015,0.000957015,0.000957015
9,335.649,1.03982,1.10819,1.32458,0.88276,0.79253,0.86315,0.53746,1.23429,1.06185,1.37742,0.000935018,0.000935018,0.000935018
10,372.098,1.02386,1.06191,1.3124,0.88129,0.82562,0.88019,0.5577,1.23404,0.94989,1.37513,0.00091302,0.00091302,0.00091302
11,408.089,1.00081,1.04481,1.30078,0.87385,0.8118,0.87503,0.55338,1.22399,0.98192,1.36354,0.000891022,0.000891022,0.000891022
12,443.9,0.99591,1.01552,1.29467,0.89446,0.80664,0.88006,0.55848,1.16979,0.95597,1.32287,0.000869024,0.000869024,0.000869024
13,480.249,0.99142,0.97882,1.2849,0.91693,0.81755,0.89871,0.58991,1.13792,0.86946,1.29174,0.000847026,0.000847026,0.000847026
14,516.463,0.96365,0.95506,1.27159,0.89124,0.84029,0.89806,0.58358,1.19165,0.89296,1.30847,0.000825029,0.000825029,0.000825029
15,553.852,0.96833,0.95956,1.27686,0.87885,0.84168,0.89525,0.5843,1.1336,0.88281,1.27514,0.000803031,0.000803031,0.000803031
16,591.691,0.94822,0.92983,1.26252,0.87895,0.85774,0.89628,0.59478,1.15501,0.85275,1.329,0.000781033,0.000781033,0.000781033
17,628.395,0.93273,0.90819,1.25571,0.89365,0.8431,0.90038,0.60629,1.10601,0.85693,1.2606,0.000759035,0.000759035,0.000759035
18,665.232,0.91732,0.89288,1.23809,0.89657,0.84891,0.90933,0.61255,1.0646,0.82037,1.24235,0.000737037,0.000737037,0.000737037
19,701.437,0.92191,0.88246,1.24003,0.88956,0.86253,0.90977,0.60586,1.09324,0.8167,1.25402,0.00071504,0.00071504,0.00071504
20,1112.39,0.82295,0.72586,1.16825,0.94132,0.86947,0.92604,0.65413,0.99274,0.69152,1.17794,0.000473064,0.000473064,0.000473064
21,1149.16,0.81338,0.70794,1.1673,0.92545,0.87739,0.92366,0.64699,1.01801,0.70109,1.18839,0.000451066,0.000451066,0.000451066
22,1185.92,0.79913,0.69799,1.16003,0.90859,0.89157,0.92803,0.65038,1.0218,0.68142,1.19182,0.000429068,0.000429068,0.000429068
23,1223.07,0.7907,0.69287,1.15164,0.94064,0.87159,0.92985,0.6521,1.02377,0.6715,1.19372,0.00040707,0.00040707,0.00040707
24,1260.83,0.78563,0.68128,1.14847,0.9205,0.88145,0.92379,0.65249,1.00175,0.69325,1.1787,0.000385073,0.000385073,0.000385073
25,1299.04,0.77401,0.67436,1.13337,0.94384,0.87354,0.93352,0.66282,1.00119,0.65684,1.18293,0.000363075,0.000363075,0.000363075
26,1336.12,0.76841,0.65727,1.13874,0.95145,0.87254,0.93245,0.65854,0.98776,0.66805,1.16289,0.000341077,0.000341077,0.000341077
27,1372.66,0.76365,0.64974,1.13778,0.92913,0.89183,0.93323,0.66938,0.97284,0.64211,1.16089,0.000319079,0.000319079,0.000319079
28,1408.91,0.75852,0.63102,1.12649,0.94576,0.88031,0.93271,0.67177,0.97391,0.65082,1.15946,0.000297081,0.000297081,0.000297081
29,1445.75,0.74932,0.63233,1.126,0.94774,0.8813,0.9354,0.66894,0.9842,0.6449,1.16997,0.000275084,0.000275084,0.000275084
40,1482.7,0.73562,0.61829,1.10855,0.93279,0.89466,0.93549,0.67243,0.96253,0.64286,1.16186,0.000253086,0.000253086,0.000253086
41,1546.41,0.76937,0.55126,1.12547,0.92965,0.88518,0.93256,0.66773,0.96268,0.64028,1.15875,0.000231088,0.000231088,0.000231088
42,1582.86,0.75203,0.51408,1.10115,0.93522,0.89357,0.93625,0.67795,0.94943,0.62077,1.14158,0.00020909,0.00020909,0.00020909
43,1618.27,0.73452,0.50464,1.09733,0.94492,0.88669,0.93434,0.67993,0.94793,0.62704,1.1523,0.000187092,0.000187092,0.000187092
44,1653.71,0.73677,0.49394,1.09978,0.94475,0.88408,0.93727,0.67585,0.94349,0.60443,1.14868,0.000165095,0.000165095,0.000165095
45,1689.37,0.71893,0.47962,1.08527,0.9544,0.89478,0.93831,0.67567,0.94558,0.60271,1.15355,0.000143097,0.000143097,0.000143097
46,1725.27,0.69989,0.46126,1.0745,0.93958,0.89794,0.94028,0.68181,0.93619,0.59512,1.14379,0.000121099,0.000121099,0.000121099
47,1762.31,0.7095,0.46082,1.07264,0.94179,0.89979,0.94023,0.68317,0.93386,0.58874,1.13636,9.91012e-05,9.91012e-05,9.91012e-05
48,1799.69,0.68925,0.44711,1.05981,0.94219,0.90702,0.94087,0.6878,0.92699,0.58005,1.14008,7.71034e-05,7.71034e-05,7.71034e-05
49,1837.36,0.68768,0.44379,1.0577,0.94664,0.90029,0.94179,0.68798,0.92107,0.57733,1.13688,5.51056e-05,5.51056e-05,5.51056e-05
50,1873.01,0.67461,0.43968,1.05876,0.95038,0.89773,0.94147,0.68755,0.92047,0.57521,1.1356,3.31078e-05,3.31078e-05,3.31078e-05
